"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-1_family-743#DNA/CMC-EnSpm",2.00951833536537,-0.33488868801325,2.29172256105586,1.4537914198602,0.692975558429539,0.765555241693749
"rnd-1_family-318#Unknown",2.57349551703241,-2.60830574892238,2.4275087416731,1.45205762686719,0.693378767481353,0.765555241693749
"rnd-1_family-240#LINE/CR1",4.6226088287472,0.580983208099868,1.52589468634371,1.45023783423319,0.693802093579279,0.765555241693749
"rnd-5_family-761#Unknown",1.69618903703233,-0.803673938573978,2.46105738660919,1.44840394633032,0.694228819556864,NA
"rnd-1_family-734#LTR/Gypsy",256.603174056767,0.109735014861402,0.325148927532384,1.44745138936398,0.694450517138201,0.765647234110872
"rnd-4_family-514#LINE/Penelope",22.8583306958179,-0.409079419807394,0.710322990292455,1.44295514026368,0.695497411633601,0.766178042897178
"rnd-5_family-1728#Unknown",46.9668298846103,-0.459647838136239,0.510113360661902,1.43485371743874,0.697385546246859,0.767633968452066
"rnd-5_family-238#RC/Helitron",5.11146292105999,-0.0852378267310499,1.44652370747847,1.42782004171958,0.699026711395357,0.768815904172654
"rnd-1_family-2#LINE/RTE-BovB",9861.36456207855,0.254262891617646,0.242357192769746,1.42192065104967,0.700404549183581,0.769706540262573
"rnd-1_family-566#LINE/Penelope",4.4592079208187,0.667552718056496,1.37875184275188,1.40448303944984,0.704484219064644,0.773562493381355
"rnd-5_family-478#Unknown",0.761056511906904,2.00088740947698,4.69048626311989,1.40072864535135,0.705363941560631,NA
"rnd-3_family-144#Unknown",0.708806645503152,-0.832438650036223,4.30086203810044,1.39660574819353,0.706330555307387,NA
"rnd-5_family-892#LINE/CR1",1.89389592324815,1.76948339696805,2.42465363283057,1.3884975239436,0.708233176993349,0.776664946890329
"rnd-6_family-278#LINE/L2",15.0583127437452,0.0331872162278658,0.859846970313563,1.3875485618028,0.708455995835016,0.776664946890329
"rnd-1_family-643#Unknown",6.66038915104428,0.817343546481558,1.17137658105929,1.3691817159599,0.712774338573763,0.780633015700671
"rnd-4_family-735#Unknown",0.446474011950414,2.78927942987061,4.83434725421935,1.36917566473324,0.712775763099095,NA
